,step,type,amount,nameOrig,oldbalanceOrig,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,rn,rn2
3165860,237,CASH_OUT,72809.55,C1650985602,21369.0,0.0,C1001258143,0.0,72809.55,0,1.0,1.0
3472350,258,CASH_OUT,204898.53,C1165602651,200134.0,0.0,C1001258143,72809.55,551717.33,0,1.0,2.0
3473418,258,TRANSFER,274009.25,C2055801845,0.0,0.0,C1001258143,277708.08,551717.33,0,1.0,3.0
3607015,264,CASH_IN,304705.24,C755335848,11574617.47,11879322.71,C1001258143,551717.33,247012.09,0,1.0,4.0
4140457,303,CASH_OUT,407097.38,C318179352,9959.0,0.0,C1001258143,247012.09,654109.48,0,1.0,5.0
4283532,307,CASH_OUT,24603.82,C562380236,0.0,0.0,C1001258143,654109.48,678713.3,0,1.0,6.0
5594567,394,CASH_IN,192177.41,C298678474,141.0,192318.41,C1001258143,678713.3,486535.89,0,1.0,7.0
5947748,405,CASH_OUT,214324.39,C776299295,4538.0,0.0,C1001258143,486535.89,700860.28,0,1.0,8.0
6187833,569,CASH_OUT,15093.69,C200350640,15093.69,0.0,C1001258143,700860.28,715953.97,1,1.0,9.0
42198,9,CASH_IN,257834.27,C621970152,15055.0,272889.27,C1002469873,0.0,0.0,0,1.0,1.0
93705,10,CASH_IN,36554.26,C1959050784,30528.0,67082.26,C1002469873,0.0,0.0,0,1.0,2.0
143635,11,CASH_OUT,311849.37,C2039067555,24633.0,0.0,C1002469873,0.0,369350.07,0,1.0,3.0
152390,12,CASH_OUT,57500.7,C1446496487,0.0,0.0,C1002469873,311849.37,369350.07,0,1.0,4.0
159222,12,CASH_OUT,36600.03,C1684213210,0.0,0.0,C1002469873,369350.07,126413.39,0,1.0,5.0
165448,12,CASH_OUT,77159.98,C2115478400,0.0,0.0,C1002469873,405950.1,126413.39,0,1.0,6.0
189937,13,CASH_IN,356696.68,C384577416,15985.0,372681.68,C1002469873,483110.08,126413.39,0,1.0,7.0
238946,14,CASH_OUT,52901.28,C391071337,1585931.95,1533030.67,C1002469873,126413.39,43680.2,0,1.0,8.0
